Movie_name,Comment_Rating,Movie_name,Genre 1,Genre 2,Genre 3,Genre 4
John Carter ,5.1441441441441444,John Carter ,action,sci-fi,adventure,family
John Dies at the End ,8.681957186544343,John Dies at the End ,action,classic,children,adventure
Jumper ,6.594594594594595,Jumper ,action,comedy,classic,family
Jurassic Park ,7.146067415730337,Jurassic Park ,action,comedy,children,adventure
Kick-Ass ,8.68421052631579,Kick-Ass ,classic,action,dramas,thrillers
Kick-Ass 2 ,5.033755274261603,Kick-Ass 2 ,action,comedy,classic,dramas
Killing Them Softly ,6.766081871345029,Killing Them Softly ,action,family,classic,romantic
L.A. Confidential ,6.4638403990024935,L.A. Confidential ,family,action,classic,comedy
Law Abiding Citizen ,7.661946902654868,Law Abiding Citizen ,family,adventure,action,children
Lawless ,7.6375,Lawless ,comedy,family,children,action
Liar Liar ,6.982456140350878,Liar Liar ,action,sci-fi,classic,thrillers
Life of Pi ,6.896247240618101,Life of Pi ,action,classic,comedy,family
Limitless ,5.617647058823529,Limitless ,action,sci-fi,classic,family
Live Free or Die Hard ,6.666666666666667,Live Free or Die Hard ,action,sci-fi,horror,adventure
Lo imposible ,4.695652173913044,Lo imposible ,action,comedy,romantic,family
Lockout ,7.254098360655738,Lockout ,family,children,horror,action
Looper ,8.839285714285714,Looper ,action,family,classic,children
Léon ,6.642540620384048,Léon ,action,children,classic,family
Magic Mike ,6.183760683760684,Magic Mike ,horror,children,family,classic
Magnoli,6.608747044917258,Magnoli,action,family,classic,sci-fi
Mama ,6.37,Mama ,action,family,thrillers,comedy
Man of Stee,7.902941176470589,Man of Stee,comedy,classic,family,action
Man on a Ledge ,8.331096196868009,Man on a Ledge ,action,classic,thrillers,comedy
Mean Girl,6.776744186046511,Mean Girl,action,comedy,sci-fi,classic
Memento ,7.626262626262626,Memento ,comedy,action,sci-fi,classic
Men in Black ,8.652849740932643,Men in Black ,children,family,comedy,classic
Men in Black 3 ,5.288819875776397,Men in Black 3 ,action,comedy,sci-fi,adventure
Men in Black II ,7.529411764705882,Men in Black II ,children,family,comedy,action
Monsters University ,5.117021276595745,Monsters University ,comedy,action,family,classic
"Monsters, Inc",7.539893617021277,"Monsters, Inc",sci-fi,action,classic,family
Moon ,8.8,Moon ,adventure,classic,horror,action
Movie 43 ,6.644849785407725,Movie 43 ,comedy,family,classic,action
Mud ,3.8210526315789473,Mud ,family,action,children,sci-fi
Napoleon Dynamite ,5.6,Napoleon Dynamite ,family,biography,musical,action
No Country for Old Men ,9.0,No Country for Old Men ,comedy,classic,action,adventure
Noah ,6.51004016064257,Noah ,action,family,comedy,romantic
Not Fade Awa,6.334462320067739,Not Fade Awa,action,classic,horror,family
Now You See Me ,6.659609120521172,Now You See Me ,sci-fi,action,classic,adventure
Oblivio,5.5,Oblivio,action,classic,family,comedy
Office Space ,4.963740458015267,Office Space ,action,comedy,classic,family
Oldboy ,8.745901639344263,Oldboy ,classic,action,comedy,horror
Olympus Has Fallen ,4.759450171821306,Olympus Has Fallen ,action,family,classic,horror
On the Road ,6.031811894882434,On the Road ,action,anime,sci-fi,classic
One Flew Over the Cuckoo s Nest ,5.455882352941177,One Flew Over the Cuckoo s Nest ,adventure,classic,family,action
Only God Forgives ,6.133540372670807,Only God Forgives ,classic,family,children,action
Oz the Great and Powerful ,5.617021276595745,Oz the Great and Powerful ,comedy,action,classic,horror
Pacific Rim ,7.538565629228687,Pacific Rim ,children,horror,action,classic
Pain   Gain ,6.722222222222222,Pain   Gain ,children,family,horror,comedy
Pan s Labyrinth ,6.144578313253012,Pan s Labyrinth ,family,children,comedy,action
ParaNorma,5.591397849462366,ParaNorma,action,comedy,romantic,family
Parental Guidanc,6.295566502463054,Parental Guidanc,comedy,sci-fi,action,classic
Parker ,6.0,Parker ,action,horror,adventure,anime
Pau,6.251968503937008,Pau,comedy,action,classic,adventure
Pawn ,8.370860927152318,Pawn ,horror,action,classic,romantic
Pineapple Express ,8.77292576419214,Pineapple Express ,action,classic,sci-fi,horror
Platoon ,6.066037735849057,Platoon ,action,classic,comedy,romantic
Predator ,6.189944134078212,Predator ,comedy,action,children,family
Premium Rush ,5.249544626593807,Premium Rush ,action,sci-fi,horror,classic
Project X ,6.526315789473684,Project X ,action,family,anime,children
Prometheu,8.636497064579256,Prometheu,action,classic,comedy,children
Promised Land ,5.335276967930029,Promised Land ,action,classic,adventure,family
Pulp Fiction ,5.771812080536913,Pulp Fiction ,action,comedy,sci-fi,adventure
Quantum of Solace ,8.923518164435947,Quantum of Solace ,action,adventure,classic,comedy
R.I.P.D. ,8.329411764705883,R.I.P.D. ,family,classic,action,comedy
RE,6.606965174129353,RE,action,classic,children,family
Raiders of the Lost Ark ,8.336384439359268,Raiders of the Lost Ark ,family,children,action,comedy
Rain Ma,7.0754716981132075,Rain Ma,action,family,sci-fi,classic
Ratatouill,7.051546391752577,Ratatouill,action,comedy,adventure,romantic
Real Steel ,4.331950207468879,Real Steel ,action,classic,family,children
Red Dawn ,7.737973387922211,Red Dawn ,action,classic,horror,family
Red Dragon ,5.816964285714286,Red Dragon ,action,sci-fi,classic,horror
Reservoir Dogs ,7.563025210084033,Reservoir Dogs ,family,children,adventure,musical
